symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
FAST,TL,LOG,transportation and logistics,logistics_network,US3119001044,FASTENAL CO,40,"Mantiene un sistema propietario de distribución y cadena de suministro para entregar suministros industriales y de construcción, contribuyendo activamente al movimiento y la gestión de bienes dentro del ecosistema logístico más amplio.","Fastenal se relaciona con la red logística al ayudar a los clientes con las necesidades de la cadena de suministro, específicamente con sujetadores, y al resolver las necesidades de abastecimiento. La empresa ha aumentado el inventario para mejorar la disponibilidad de productos y la eficiencia de la selección. Además, Fastenal está realizando inversiones para mejorar su red logística debido a los aranceles, como la importación de productos directamente a Canadá y México.",269120,USD,SMART,STK,
ARCB,TL,LOG,transportation and logistics,logistics_network,US03937C1053,ARCBEST CORP,41,"Ofrece servicios integrales de transporte y logística, facilitando el movimiento y la gestión de mercancías a través de diversas cadenas de suministro.",,150304976,USD,SMART,STK,
HUBG,TL,LOG,transportation and logistics,logistics_network,US4433201062,HUB GROUP INC-CL A,42,Proporciona soluciones integradas de transporte y cadena de suministro que son integrales a la red logística en general.,"La participación de Hub Group en el tema de la Red de Logística es evidente en su enfoque en servicios intermodales, de corretaje, dedicados, de transporte gestionado y de última milla. La empresa está trabajando activamente para mejorar el equilibrio y la velocidad de la red, con el objetivo de reducir los costos de reposicionamiento en vacío y mejorar los tiempos de entrega. Esto se ve respaldado aún más por su énfasis en ganar licitaciones y crear un mejor equilibrio y velocidad dentro de su red, y se espera que el crecimiento en el Este contribuya a estas mejoras.",4813067,USD,SMART,STK,
VSEC,TL,LOG,transportation and logistics,logistics_network,US9182841000,VSE CORP,43,Contribuye a la eficiencia operativa de las redes logísticas facilitando el movimiento y la distribución de bienes y recursos.,"La participación de VSE en el tema de Redes Logísticas se deriva de su provisión de servicios logísticos como parte de sus ofertas diversificadas de posventa de aviación, que incluyen servicios de mantenimiento, reparación y revisión, distribución de piezas, gestión de la cadena de suministro y consultoría. La empresa ofrece logística para activos de transporte, sirviendo tanto a mercados comerciales como gubernamentales. Si bien la logística es un componente de los servicios de VSE, no hay un desglose de ingresos específico ni una mención explícita de una red logística propietaria que sugiera un enfoque dominante en esta área.",6746559,USD,SMART,STK,"[{'name': 'vsec-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vsec-Q225-10-Q.html'}]"
TRMB,TL,LOG,transportation and logistics,logistics_network,US8962391004,TRIMBLE INC,44,Participa en el tema de la Red Logística.,"La participación de Trimble en el tema de la Red Logística es evidente a través de sus soluciones dirigidas a industrias como el transporte y sus clientes representativos, incluidas las empresas de transporte por carretera. El segmento de Transporte y Logística de la empresa, impulsado por la adquisición de Transporeon, gestiona el flujo de mercancías y contribuye con una parte notable a los ingresos orgánicos por suscripción y servicios. Si bien Trimble se deshizo de su negocio de movilidad, mantiene una relación comercial para integrar la telemetría con la gestión de envíos, la planificación, la optimización de rutas y otras capacidades, y se enfoca en ofrecer soluciones ricas en datos en el transporte.",275294,USD,SMART,STK,"[{'name': 'trmb-Q224-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trmb-Q224-10-Q.html'}, {'name': 'trmb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/trmb-Q324-10-Q.html'}]"
PI,TL,LOG,transportation and logistics,logistics_network,US4532041096,IMPINJ INC,45,"Proporciona tecnología fundamental para mejorar el seguimiento, la gestión de inventario y la eficiencia operativa dentro de la Red Logística.","La participación de la empresa en el tema de la Red Logística es evidente a través de la utilización de su plataforma por parte de empresas para digitalizar operaciones para la optimización de la cadena de suministro y la logística. La empresa envía una parte significativa de sus CI a la cadena de suministro y la logística, particularmente en los EE. UU., y apoya a un gran cliente norteamericano de la cadena de suministro y la logística con un despliegue y crecimiento continuos esperados. Además, la empresa ve una oportunidad de crecimiento secular a largo plazo en la cadena de suministro y la logística, con CI de punto final que se utilizan en paquetes de envío.",241585158,USD,SMART,STK,
KARO,TL,LOG,transportation and logistics,logistics_network,SGXZ19450089,KAROOOOO LTD,46,"Opera dentro de la red logística, participando en los procesos involucrados en la gestión y el movimiento de mercancías.","La plataforma de Karooooo apoya a diversas industrias, incluida la logística, con su oferta de entrega como servicio Karooooo Logistics. Este servicio permite a los grandes clientes empresariales escalar sus operaciones de comercio electrónico y logística y permite a Karooooo conocer los desafíos operativos y logísticos que enfrentan estos clientes. Si bien la logística es una de las industrias atendidas, no se identifica como un enfoque estratégico principal para la empresa.",479786418,USD,SMART,STK,
MCK,TL,LOG,transportation and logistics,logistics_network,US58155Q1031,MCKESSON CORP,47,"Gestiona una extensa red de distribución de productos sanitarios, asegurando la entrega oportuna y eficiente de productos farmacéuticos y suministros médicos en diversos mercados.",,9657,USD,SMART,STK,
COR,TL,LOG,transportation and logistics,logistics_network,US03073E1055,CENCORA INC,48,Lleva a cabo operaciones dentro de la Red Logística.,"La participación de Cencora en el tema de la Red Logística es evidente a través de sus iniciativas estratégicas para mejorar sus ofertas de logística farmacéutica, particularmente en Europa. La compañía está integrando sus negocios de 3PL de EE. UU. y Europa para crear una red internacional unificada, que atiende a fabricantes farmacéuticos que buscan socios capaces de dar soporte a productos en múltiples geografías. Este servicio de 3PL a escala internacional tiene como objetivo diferenciar a Cencora y expandir su liderazgo en logística farmacéutica especializada en todo el continente.",1714996,USD,SMART,STK,
CGNX,TL,LOG,transportation and logistics,logistics_network,US1924221039,COGNEX CORP,49,"Soporta la automatización de redes logísticas a través de sistemas de visión artificial que mejoran la eficiencia en los procesos de clasificación, seguimiento e inspección de calidad.","Cognex demuestra su participación en la Red Logística a través de su estrategia de crecimiento logístico, que incluye un crecimiento de ingresos de dos dígitos y expectativas de un fuerte crecimiento continuo. Este crecimiento, que marca múltiples trimestres consecutivos de aumento de ingresos, está impulsado por las continuas inversiones de grandes jugadores de comercio electrónico y una mayor penetración en el mercado logístico más amplio. Cognex enfatiza una tendencia hacia una mayor productividad y rendimiento en los centros de distribución existentes, destacando la importancia de optimizar la infraestructura actual sobre la construcción de nuevas instalaciones.",267547,USD,SMART,STK,
MPLX,TL,LOG,transportation and logistics,logistics_network,US55336V1008,MPLX LP,50,"Opera una extensa infraestructura de transporte y almacenamiento (midstream), que incluye oleoductos, terminales e instalaciones de procesamiento, formando una red logística fundamental para el transporte y almacenamiento de petróleo crudo, gas natural y productos refinados.","La participación de MPLX en el tema de Redes Logísticas es fundamental para sus operaciones, ya que la empresa posee y opera infraestructura y activos logísticos de energía de transmisión, proporcionando servicios de distribución de combustibles. El negocio principal de MPLX se estructura en torno a estos activos, apoyando tanto la Logística de Petróleo Crudo y Productos como los Servicios de Gas Natural y Líquidos de Gas Natural (NGL). Las operaciones de la empresa facilitan el transporte, almacenamiento y distribución de petróleo crudo, productos refinados, gas natural y NGL, formando una red crítica para el movimiento de estos productos energéticos.",116339790,USD,SMART,STK,"[{'name': 'mplx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mplx-Q225-10-Q.html'}]"
GPC,TL,LOG,transportation and logistics,logistics_network,US3724601055,GENUINE PARTS CO,51,"Opera una extensa red de distribución global de piezas automotrices e industriales, enfatizando la logística eficiente para la entrega oportuna de productos y la gestión integral de la cadena de suministro.",,7745,USD,SMART,STK,
TRGP,TL,LOG,transportation and logistics,logistics_network,US87612G1013,TARGA RESOURCES CORP,52,"Proporciona infraestructura esencial de transporte intermedio, incluyendo servicios de recolección, procesamiento y transporte de gas natural y líquidos de gas natural, facilitando el movimiento de productos energéticos a través de la red logística más amplia.","Targa Resources enfatiza su sistema integrado de cabeza de pozo a agua, destacando la importancia de su red logística para conectar la producción con los mercados finales, lo que facilita el flujo de gas natural y NGL desde las cabezas de pozo hasta los mercados finales, incluyendo transporte, fraccionamiento y exportación. Esto se refleja en sus volúmenes récord de transporte de gasoductos de NGL, con un promedio de 961.000 barriles por día. Para mejorar aún más la conectividad y la confiabilidad para los clientes, Targa está expandiendo su gasoducto de NGL dentro de la cuenca Delaware Express y tiene fraccionadores en construcción, incluida una extensión de su sistema de gasoductos de gas natural Bull Run en la Cuenca Delaware.",81671838,USD,SMART,STK,
PAG,TL,LOG,transportation and logistics,logistics_network,US70959W1036,PENSKE AUTOMOTIVE GROUP INC,53,"Aprovecha extensas redes de distribución y servicios de transporte para facilitar el movimiento de vehículos y piezas, contribuyendo a la infraestructura logística en general.","La empresa demuestra su participación en el tema de Redes Logísticas a través de su participación accionaria en Penske Transportation Solutions (PTS). PTS gestiona una gran flota de camiones en América del Norte y ofrece una gama de servicios logísticos, que incluyen soluciones de cadena de suministro, transporte por contrato dedicado, gestión de centros de distribución y gestión de carga. Estos servicios resaltan el papel de la empresa en la provisión de soluciones integrales en toda la cadena de suministro.",45006145,USD,SMART,STK,"[{'name': 'pag-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pag-Q324-10-Q.html'}, {'name': 'pag-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pag-Q225-10-Q.html'}]"
UNFI,TL,LOG,transportation and logistics,logistics_network,US9111631035,UNITED NATURAL FOODS INC,54,"Opera una red de distribución integral para entregar alimentos naturales, orgánicos y especializados a sus clientes.",,6746248,USD,SMART,STK,
JMIA,TL,LOG,transportation and logistics,logistics_network,US48138M1053,JUMIA TECHNOLOGIES AG-ADR,55,Opera una red logística integrada para facilitar la entrega de bienes comprados a través de su plataforma de comercio electrónico en África.,"Jumia se enfoca en expandir y monetizar su red logística, Jumia Deliveries, al ofrecer su plataforma logística interna de última milla como un servicio a vendedores externos e individuos. Este movimiento estratégico permite a Jumia aprovechar su infraestructura establecida, incluida una red de puntos de recogida, para mejorar la eficiencia de costos y extender su alcance a regiones desatendidas. Jumia está trabajando para mejorar la confiabilidad y la rentabilidad de su red logística para permitir una cobertura geográfica más amplia y está invirtiendo en expandir su presencia logística en nuevas ciudades.",360310571,USD,SMART,STK,
MATX,TL,LOG,transportation and logistics,logistics_network,US57686G1058,MATSON INC,56,"Opera una red integrada de servicios de transporte marítimo y logística, conectando cadenas de suministro y facilitando el movimiento de mercancías a través de diversas regiones.",,108649896,USD,SMART,STK,
BX,TL,LOG,transportation and logistics,logistics_network,US09260D1072,BLACKSTONE INC,57,Implica inversiones en infraestructura logística y empresas que apoyan las cadenas de suministro globales y las redes de distribución.,,372834689,USD,SMART,STK,
PARR,TL,LOG,transportation and logistics,logistics_network,US69888T2078,PAR PACIFIC HOLDINGS INC,58,Sus operaciones comerciales se cruzan con el tema de la Red Logística.,"La participación de la compañía en el tema Logistics Network es evidente a través de su segmento de logística, que utiliza oleoductos y racks para camiones. La compañía aprovecha su sistema de distribución patentado existente y anticipa vender la mayoría de los productos SAF localmente en Hawái. El segmento de logística reportó EBITDA ajustado, en línea con la guía de tasa de ejecución de ciclo medio, y los volúmenes de logística en Wyoming se recuperaron después de la reactivación de una refinería.",143288167,USD,SMART,STK,
TMDX,TL,LOG,transportation and logistics,logistics_network,US89377M1099,TRANSMEDICS GROUP INC,59,"Utiliza una red logística especializada para facilitar el transporte y la entrega de órganos para trasplantes, garantizando su viabilidad y llegada oportuna para procedimientos que salvan vidas.","La exposición de TransMedics al tema de la Red Logística es significativa, impulsada por su red logística dedicada de trasplantes, que incluye la propiedad y operación de una flota de 21 aviones. Esta red es un componente clave de su modelo de negocio, apoyando el Programa Nacional de OCS (NOP) al proporcionar servicios externalizados de obtención de órganos, gestión de perfusión y logística de trasplantes, incluyendo aviación y transporte terrestre. La compañía está expandiendo activamente su infraestructura y explorando la expansión internacional de su modelo NOP, lo que refleja la importancia estratégica de su red logística, que generó $29.8 millones en ingresos en el segundo trimestre de 2025, un aumento interanual del 56%.",364036140,USD,SMART,STK,"[{'name': 'tmdx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tmdx-Q225-10-Q.html'}]"
ROP,TL,LOG,transportation and logistics,logistics_network,US7766961061,ROPER TECHNOLOGIES INC,60,Permite la optimización y la eficiencia operativa dentro de las redes logísticas a través de sus diversas soluciones tecnológicas.,"Roper Technologies demuestra su enfoque en la Red Logística a través de la estrategia central de DAT, que tiene como objetivo mejorar el valor de la red tanto para corredores como para transportistas. Esta estrategia está respaldada además por la integración de Loadlink, el negocio canadiense de correspondencia de carga de Roper, con DAT. Además, DAT está integrando Loadlink y Trucker Tools para crear una red de correspondencia de carga norteamericana más unificada y eficientemente desplegada, lo que indica un compromiso con la mejora de las operaciones logísticas.",2585629,USD,SMART,STK,
PSN,TL,LOG,transportation and logistics,logistics_network,US70202L1026,PARSONS CORP,61,"Contribuye al diseño, construcción y avance tecnológico de la infraestructura esencial para las Redes Logísticas modernas.","La participación de PSN en el tema de la Red Logística es evidente a través de su segmento de Soluciones Federales, que ofrece tecnologías y servicios avanzados. Este segmento apoya las misiones de seguridad nacional al proporcionar soporte logístico, modernización de instalaciones militares y remediación de materiales peligrosos. El enfoque de la empresa en la entrega de hardware, software y servicios oportunos y rentables para proyectos críticos para el gobierno de los EE. UU. subraya aún más su papel en la logística.",365037248,USD,SMART,STK,"[{'name': 'psn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/psn-Q225-10-Q.html'}]"
AESI,TL,LOG,transportation and logistics,logistics_network,US6420451089,ATLAS ENERGY SOLUTIONS INC,62,Implica la participación en el tema de Redes Logísticas para facilitar sus procesos comerciales.,"La participación de la empresa en el tema de Redes Logísticas es evidente a través de la operación de una plataforma logística diseñada para la industria del petróleo y el gas natural dentro de la Cuenca Pérmica. Esta plataforma incluye una flota de camiones y remolques, así como el Dune Express, una solución de infraestructura de cintas transportadoras terrestres. La empresa enfatiza que su plataforma logística está 'diferenciada' y diseñada para aumentar la eficiencia, la seguridad y la sostenibilidad. Los ingresos por servicios de la empresa, que incluyen el transporte para servicios de logística de última milla, representan una parte significativa de sus ingresos totales.",656365592,USD,SMART,STK,"[{'name': 'aesi-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/aesi-Q324-10-Q.html'}, {'name': 'aesi-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/aesi-FY24-10-K.html'}]"
